func,seed,variant,final,dup_frac
5,5,NoRay_fixed,1490.73388671875,0.995
5,5,NoRay_buggy,1631.4002685546875,0.9975
5,6,P14_fixed,955.10498046875,0.0050000000000000044
5,6,P14_buggy,1040.0706787109375,0.31000000000000005
5,6,NoRay_fixed,1857.1322021484375,0.9975
5,6,NoRay_buggy,1652.455322265625,0.9975
5,7,P14_fixed,928.2526245117188,0.0024999999999999467
5,7,P14_buggy,1162.618896484375,0.32999999999999996
5,7,NoRay_fixed,1663.404052734375,0.9925
5,7,NoRay_buggy,1787.557373046875,0.9925
5,8,P14_fixed,913.8186645507812,0.0024999999999999467
5,8,P14_buggy,1058.027587890625,0.3225
5,8,NoRay_fixed,1630.2607421875,0.9925
5,8,NoRay_buggy,1778.811279296875,0.9975
5,9,P14_fixed,904.339111328125,0.0024999999999999467
5,9,P14_buggy,1010.588134765625,0.29000000000000004
5,9,NoRay_fixed,1853.409423828125,0.905
5,9,NoRay_buggy,1900.08251953125,0.9975
5,10,P14_fixed,920.9320678710938,0.0
5,10,P14_buggy,945.8099365234375,0.25749999999999995
5,10,NoRay_fixed,2069.3818359375,0.9975
5,10,NoRay_buggy,2159.12841796875,0.9875
5,11,P14_fixed,934.0999145507812,0.0050000000000000044
5,11,P14_buggy,959.468505859375,0.25
5,11,NoRay_fixed,1674.916748046875,0.9975
5,11,NoRay_buggy,2059.238525390625,0.9975
5,12,P14_fixed,906.527099609375,0.0050000000000000044
5,12,P14_buggy,1032.156005859375,0.255
5,12,NoRay_fixed,1643.973876953125,0.995
5,12,NoRay_buggy,1963.5125732421875,0.9975
5,13,P14_fixed,918.263427734375,0.0
5,13,P14_buggy,1139.7596435546875,0.27
5,13,NoRay_fixed,1600.40966796875,0.995
5,13,NoRay_buggy,1683.975830078125,0.9975
5,14,P14_fixed,905.9256591796875,0.0
5,14,P14_buggy,1001.1470947265625,0.3375
5,14,NoRay_fixed,1761.554443359375,0.9925
5,14,NoRay_buggy,1626.1336669921875,0.9925
6,0,P14_fixed,1879.3360595703125,0.057499999999999996
6,0,P14_buggy,1804.3253173828125,0.34750000000000003
6,0,NoRay_fixed,1009406400.0,0.985
6,0,NoRay_buggy,857819072.0,0.7975
6,1,P14_fixed,1884.9306640625,0.05500000000000005
6,1,P14_buggy,1828.7952880859375,0.39
6,1,NoRay_fixed,160374048.0,0.97
6,1,NoRay_buggy,429805504.0,0.9575
6,2,P14_fixed,1842.7972412109375,0.022499999999999964
6,2,P14_buggy,1883.294677734375,0.4
6,2,NoRay_fixed,194947104.0,0.9299999999999999
6,2,NoRay_buggy,267170304.0,0.99
6,3,P14_fixed,1867.9766845703125,0.04500000000000004
6,3,P14_buggy,1836.9195556640625,0.475
6,3,NoRay_fixed,1024779456.0,0.9775
6,3,NoRay_buggy,671379840.0,0.945
6,4,P14_fixed,1874.072021484375,0.03500000000000003
6,4,P14_buggy,1819.2923583984375,0.4075
6,4,NoRay_fixed,893518016.0,0.985
6,4,NoRay_buggy,503119232.0,0.89
6,5,P14_fixed,1888.6588134765625,0.030000000000000027
6,5,P14_buggy,1811.3731689453125,0.395
6,5,NoRay_fixed,543248448.0,0.9475
6,5,NoRay_buggy,508259040.0,0.9275
6,6,P14_fixed,1904.0975341796875,0.03749999999999998
6,6,P14_buggy,1843.3687744140625,0.37749999999999995
6,6,NoRay_fixed,603440064.0,0.985
6,6,NoRay_buggy,398316288.0,0.6325000000000001
6,7,P14_fixed,1837.5257568359375,0.05500000000000005
6,7,P14_buggy,1824.13916015625,0.4075
6,7,NoRay_fixed,413398688.0,0.9875
6,7,NoRay_buggy,511696320.0,0.875
6,8,P14_fixed,1886.7257080078125,0.04500000000000004
6,8,P14_buggy,1820.42431640625,0.39249999999999996
6,8,NoRay_fixed,713673728.0,0.9925
6,8,NoRay_buggy,871229824.0,0.955
6,9,P14_fixed,1856.204833984375,0.02749999999999997
6,9,P14_buggy,1830.0972900390625,0.37749999999999995
6,9,NoRay_fixed,1246681216.0,0.92
6,9,NoRay_buggy,873504512.0,0.86
6,10,P14_fixed,1839.557373046875,0.03749999999999998
6,10,P14_buggy,1842.345703125,0.40249999999999997
6,10,NoRay_fixed,998238656.0,0.9625
6,10,NoRay_buggy,1366622080.0,0.9775
6,11,P14_fixed,1848.6273193359375,0.030000000000000027
6,11,P14_buggy,1823.7847900390625,0.355
6,11,NoRay_fixed,433872864.0,0.9625
6,11,NoRay_buggy,149472384.0,0.9575
6,12,P14_fixed,1864.2420654296875,0.03749999999999998
6,12,P14_buggy,1831.5347900390625,0.37749999999999995
6,12,NoRay_fixed,247694048.0,0.94
6,12,NoRay_buggy,394253920.0,0.8125
6,13,P14_fixed,1835.84033203125,0.05249999999999999
6,13,P14_buggy,1819.6595458984375,0.37749999999999995
6,13,NoRay_fixed,620686848.0,0.94
6,13,NoRay_buggy,643801280.0,0.885
6,14,P14_fixed,1829.279296875,0.03500000000000003
6,14,P14_buggy,1827.267333984375,0.36250000000000004
6,14,NoRay_fixed,370450560.0,0.99
6,14,NoRay_buggy,541018816.0,0.94
7,0,P14_fixed,2029.0733642578125,0.010000000000000009
7,0,P14_buggy,2039.025634765625,0.23750000000000004
7,0,NoRay_fixed,2116.801513671875,0.655
7,0,NoRay_buggy,2119.94580078125,0.8575
7,1,P14_fixed,2023.7972412109375,0.007499999999999951
7,1,P14_buggy,2039.332763671875,0.3125
7,1,NoRay_fixed,2102.62646484375,0.8075
7,1,NoRay_buggy,2121.1884765625,0.6875
7,2,P14_fixed,2035.127685546875,0.0024999999999999467
7,2,P14_buggy,2028.908447265625,0.30000000000000004
7,2,NoRay_fixed,2083.95654296875,0.815
7,2,NoRay_buggy,2107.84228515625,0.9175
7,3,P14_fixed,2023.8604736328125,0.025000000000000022
7,3,P14_buggy,2035.8662109375,0.28500000000000003
7,3,NoRay_fixed,2096.241943359375,0.575
7,3,NoRay_buggy,2102.72998046875,0.8425
7,4,P14_fixed,2025.9415283203125,0.007499999999999951
7,4,P14_buggy,2038.865478515625,0.26249999999999996
7,4,NoRay_fixed,2087.598388671875,0.665
7,4,NoRay_buggy,2100.666015625,0.675
7,5,P14_fixed,2025.1732177734375,0.015000000000000013
7,5,P14_buggy,2047.3231201171875,0.25
7,5,NoRay_fixed,2093.52783203125,0.5125
7,5,NoRay_buggy,2116.84326171875,0.7025
7,6,P14_fixed,2024.6553955078125,0.010000000000000009
7,6,P14_buggy,2032.9952392578125,0.25749999999999995
7,6,NoRay_fixed,2086.60791015625,0.8325
7,6,NoRay_buggy,2112.444580078125,0.9125
7,7,P14_fixed,2012.0306396484375,0.025000000000000022
7,7,P14_buggy,2053.405517578125,0.245
7,7,NoRay_fixed,2077.3046875,0.47750000000000004
7,7,NoRay_buggy,2093.84521484375,0.895
7,8,P14_fixed,2031.0283203125,0.040000000000000036
